protein,ligand1,ligand2,lambdai
PTP1B,20670_2qbs,20670_2qbs,0.5
PTP1B,20670_2qbs,20670_2qbs,0.5
PTP1B,20670_2qbs,23466,0.5
PTP1B,23466,20670_2qbs,0.5
PTP1B,20670_2qbs,23467,0.5
PTP1B,23467,20670_2qbs,0.5
PTP1B,20670_2qbs,23468,0.5
PTP1B,23468,20670_2qbs,0.5
PTP1B,20670_2qbs,23469,0.5
PTP1B,23469,20670_2qbs,0.5
PTP1B,20670_2qbs,23470,0.5
PTP1B,23470,20670_2qbs,0.5
PTP1B,20670_2qbs,23471,0.5
PTP1B,23471,20670_2qbs,0.5
PTP1B,20670_2qbs,23472,0.5
PTP1B,23472,20670_2qbs,0.5
PTP1B,20670_2qbs,23473,0.5
PTP1B,23473,20670_2qbs,0.5
PTP1B,20670_2qbs,23474,0.5
PTP1B,23474,20670_2qbs,0.5
PTP1B,20670_2qbs,23475,0.5
PTP1B,23475,20670_2qbs,0.5
PTP1B,20670_2qbs,23476,0.5
PTP1B,23476,20670_2qbs,0.5
PTP1B,20670_2qbs,23477,0.5
PTP1B,23477,20670_2qbs,0.5
PTP1B,20670_2qbs,23479,0.5
PTP1B,23479,20670_2qbs,0.5
PTP1B,20670_2qbs,23480,0.5
PTP1B,23480,20670_2qbs,0.5
PTP1B,20670_2qbs,23482,0.5
PTP1B,23482,20670_2qbs,0.5
PTP1B,20670_2qbs,23483,0.5
PTP1B,23483,20670_2qbs,0.5
PTP1B,20670_2qbs,23484,0.5
PTP1B,23484,20670_2qbs,0.5
PTP1B,20670_2qbs,23485,0.5
PTP1B,23485,20670_2qbs,0.5
PTP1B,20670_2qbs,23486,0.5
PTP1B,23486,20670_2qbs,0.5
PTP1B,20670_2qbs,20667_2qbp,0.5
PTP1B,20667_2qbp,20670_2qbs,0.5
PTP1B,20670_2qbs,20669_2qbr,0.5
PTP1B,20669_2qbr,20670_2qbs,0.5
PTP1B,20670_2qbs,23330_2qbq,0.5
PTP1B,23330_2qbq,20670_2qbs,0.5
PTP1B,23466,23466,0.5
PTP1B,23466,23466,0.5
PTP1B,23466,23467,0.5
PTP1B,23467,23466,0.5
PTP1B,23466,23468,0.5
PTP1B,23468,23466,0.5
PTP1B,23466,23469,0.5
PTP1B,23469,23466,0.5
PTP1B,23466,23470,0.5
PTP1B,23470,23466,0.5
PTP1B,23466,23471,0.5
PTP1B,23471,23466,0.5
PTP1B,23466,23472,0.5
PTP1B,23472,23466,0.5
PTP1B,23466,23473,0.5
PTP1B,23473,23466,0.5
PTP1B,23466,23474,0.5
PTP1B,23474,23466,0.5
PTP1B,23466,23475,0.5
PTP1B,23475,23466,0.5
PTP1B,23466,23476,0.5
PTP1B,23476,23466,0.5
PTP1B,23466,23477,0.5
PTP1B,23477,23466,0.5
PTP1B,23466,23479,0.5
PTP1B,23479,23466,0.5
PTP1B,23466,23480,0.5
PTP1B,23480,23466,0.5
PTP1B,23466,23482,0.5
PTP1B,23482,23466,0.5
PTP1B,23466,23483,0.5
PTP1B,23483,23466,0.5
PTP1B,23466,23484,0.5
PTP1B,23484,23466,0.5
PTP1B,23466,23485,0.5
PTP1B,23485,23466,0.5
PTP1B,23466,23486,0.5
PTP1B,23486,23466,0.5
PTP1B,23466,20667_2qbp,0.5
PTP1B,20667_2qbp,23466,0.5
PTP1B,23466,20669_2qbr,0.5
PTP1B,20669_2qbr,23466,0.5
PTP1B,23466,20670_2qbs,0.5
PTP1B,20670_2qbs,23466,0.5
PTP1B,23466,23330_2qbq,0.5
PTP1B,23330_2qbq,23466,0.5
